Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.8360655737704918,0.8484848484848485,0.8484848484848485,0.8484848484848485
Random Forest,0.7704918032786885,0.7878787878787878,0.7878787878787878,0.7878787878787878
XGBoost,0.7049180327868853,0.7272727272727273,0.7272727272727273,0.7272727272727273
